id,name,followers_count,friends_count,isProxy
0,CNN,60595979,1093,0
1,realDonaldTrump,87703255,49,0
2,LeFloid,1069205,170,0
3,boredpanda,146466,15,0
4,ntv_EIL,43823,6,0
5,Ash_Smiths,433,408,0
6,kirstynshibla,509,565,0
7,WhistleBlitz,1192244,531,0
8,igordou,284,364,0
9,GregorGysi,485204,149,0
10,miguel_arraiz,239,220,0
11,tagesthemen,489013,567,0
12,33abg,60,246,0
13,lchollstein,13,91,0
